"서울ㆍ인천ㆍ경기도":"서울":"A02":"2020-07-19 00:00":"흐림":"22":"28":"40"
"서울ㆍ인천ㆍ경기도":"이천":"A02":"2020-07-19 12:00":"흐리고 비":"20":"27":"80"
"서울ㆍ인천ㆍ경기도":"이천":"A02":"2020-07-20 00:00":"흐리고 비":"23":"28":"100"
"서울ㆍ인천ㆍ경기도":"이천":"A02":"2020-07-20 12:00":"흐리고 비":"23":"28":"90"
"서울ㆍ인천ㆍ경기도":"이천":"A02":"2020-07-21 00:00":"흐리고 비":"22":"28":"60"
"서울ㆍ인천ㆍ경기도":"이천":"A02":"2020-07-21 12:00":"흐리고 비":"22":"28":"60"
"서울ㆍ인천ㆍ경기도":"이천":"A02":"2020-07-22 00:00":"흐림":"22":"29":"40"
"서울ㆍ인천ㆍ경기도":"이천":"A02":"2020-07-22 12:00":"흐림":"22":"29":"40"
"서울ㆍ인천ㆍ경기도":"이천":"A02":"2020-07-23 00:00":"흐리고 비":"22":"28":"60"
"서울ㆍ인천ㆍ경기도":"이천":"A02":"2020-07-23 12:00":"흐리고 비":"22":"28":"60"
"서울ㆍ인천ㆍ경기도":"이천":"A01":"2020-07-24 00:00":"흐림":"21":"29":"40"
"서울ㆍ인천ㆍ경기도":"이천":"A01":"2020-07-25 00:00":"흐림":"21":"29":"40"
"서울ㆍ인천ㆍ경기도":"이천":"A01":"2020-07-26 00:00":"흐림":"21":"28":"40"
"서울ㆍ인천ㆍ경기도":"평택":"A02":"2020-07-19 00:00":"흐림":"21":"28":"40"
"서울ㆍ인천ㆍ경기도":"평택":"A02":"2020-07-19 12:00":"흐리고 비":"21":"28":"80"
"서울ㆍ인천ㆍ경기도":"평택":"A02":"2020-07-20 00:00":"흐리고 비":"23":"29":"100"
"서울ㆍ인천ㆍ경기도":"평택":"A02":"2020-07-20 12:00":"흐리고 비":"23":"29":"90"
"서울ㆍ인천ㆍ경기도":"평택":"A02":"2020-07-21 00:00":"흐리고 비":"23":"29":"60"
"서울ㆍ인천ㆍ경기도":"평택":"A02":"2020-07-21 12:00":"흐리고 비":"23":"29":"60"
"서울ㆍ인천ㆍ경기도":"평택":"A02":"2020-07-22 00:00":"흐림":"23":"29":"40"
"서울ㆍ인천ㆍ경기도":"평택":"A02":"2020-07-22 12:00":"흐림":"23":"29":"40"
"서울ㆍ인천ㆍ경기도":"평택":"A02":"2020-07-23 00:00":"흐리고 비":"22":"29":"60"
"서울ㆍ인천ㆍ경기도":"평택":"A02":"2020-07-23 12:00":"흐리고 비":"22":"29":"60"
"서울ㆍ인천ㆍ경기도":"평택":"A01":"2020-07-24 00:00":"흐림":"23":"29":"40"
"서울ㆍ인천ㆍ경기도":"평택":"A01":"2020-07-25 00:00":"흐림":"22":"30":"40"
"서울ㆍ인천ㆍ경기도":"평택":"A01":"2020-07-26 00:00":"흐림":"22":"29":"40"
"강원도영서":"춘천":"A02":"2020-07-19 00:00":"구름많음":"20":"29":"30"
"강원도영서":"춘천":"A02":"2020-07-19 12:00":"흐리고 비":"20":"29":"80"
"강원도영서":"춘천":"A02":"2020-07-20 00:00":"흐리고 비":"23":"28":"90"
"강원도영서":"춘천":"A02":"2020-07-20 12:00":"흐리고 비":"23":"28":"100"
"강원도영서":"춘천":"A02":"2020-07-21 00:00":"흐리고 비":"23":"30":"80"
"강원도영서":"춘천":"A02":"2020-07-21 12:00":"흐리고 비":"23":"30":"60"
"강원도영서":"춘천":"A02":"2020-07-22 00:00":"흐림":"22":"30":"40"
"강원도영서":"춘천":"A02":"2020-07-22 12:00":"흐림":"22":"30":"40"
"강원도영서":"춘천":"A02":"2020-07-23 00:00":"흐리고 비":"21":"28":"60"
"강원도영서":"춘천":"A02":"2020-07-23 12:00":"흐리고 비":"21":"28":"60"
"강원도영서":"춘천":"A01":"2020-07-24 00:00":"흐리고 비":"21":"29":"60"
"강원도영서":"춘천":"A01":"2020-07-25 00:00":"흐림":"21":"28":"40"
"강원도영서":"춘천":"A01":"2020-07-26 00:00":"흐리고 비":"22":"28":"70"
"강원도영서":"원주":"A02":"2020-07-19 00:00":"구름많음":"20":"28":"30"
"강원도영서":"원주":"A02":"2020-07-19 12:00":"흐리고 비":"20":"28":"80"
"강원도영서":"원주":"A02":"2020-07-20 00:00":"흐리고 비":"24":"29":"90"
"강원도영서":"원주":"A02":"2020-07-20 12:00":"흐리고 비":"24":"29":"100"
"강원도영서":"원주":"A02":"2020-07-21 00:00":"흐리고 비":"23":"30":"80"
"강원도영서":"원주":"A02":"2020-07-21 12:00":"흐리고 비":"23":"30":"60"
"강원도영서":"원주":"A02":"2020-07-22 00:00":"흐림":"22":"29":"40"
"강원도영서":"원주":"A02":"2020-07-22 12:00":"흐림":"22":"29":"40"
"강원도영서":"원주":"A02":"2020-07-23 00:00":"흐리고 비":"22":"28":"60"
"강원도영서":"원주":"A02":"2020-07-23 12:00":"흐리고 비":"22":"28":"60"
"강원도영서":"원주":"A01":"2020-07-24 00:00":"흐리고 비":"21":"29":"60"
"강원도영서":"원주":"A01":"2020-07-25 00:00":"흐림":"21":"29":"40"
"강원도영서":"원주":"A01":"2020-07-26 00:00":"흐리고 비":"22":"29":"70"
"강원도영동":"강릉":"A02":"2020-07-19 00:00":"구름많음":"19":"25":"30"
"강원도영동":"강릉":"A02":"2020-07-19 12:00":"흐리고 비":"19":"25":"60"
"강원도영동":"강릉":"A02":"2020-07-20 00:00":"흐리고 비":"23":"29":"70"
"강원도영동":"강릉":"A02":"2020-07-20 12:00":"흐리고 비":"23":"29":"60"
"강원도영동":"강릉":"A02":"2020-07-21 00:00":"흐리고 비":"24":"29":"60"
"강원도영동":"강릉":"A02":"2020-07-21 12:00":"구름많고 비":"24":"29":"60"
"강원도영동":"강릉":"A02":"2020-07-22 00:00":"흐림":"23":"28":"40"
"강원도영동":"강릉":"A02":"2020-07-22 12:00":"흐림":"23":"28":"40"
"강원도영동":"강릉":"A02":"2020-07-23 00:00":"흐리고 비":"22":"27":"60"
"강원도영동":"강릉":"A02":"2020-07-23 12:00":"흐리고 비":"22":"27":"80"
"강원도영동":"강릉":"A01":"2020-07-24 00:00":"흐리고 비":"21":"26":"80"
"강원도영동":"강릉":"A01":"2020-07-25 00:00":"흐리고 비":"21":"26":"80"
"강원도영동":"강릉":"A01":"2020-07-26 00:00":"흐림":"22":"27":"40"
"대전ㆍ세종ㆍ충청남도":"대전":"A02":"2020-07-19 00:00":"흐림":"21":"28":"40"
"대전ㆍ세종ㆍ충청남도":"대전":"A02":"2020-07-19 12:00":"흐리고 비":"21":"28":"70"
"대전ㆍ세종ㆍ충청남도":"대전":"A02":"2020-07-20 00:00":"흐리고 비":"24":"28":"80"
"대전ㆍ세종ㆍ충청남도":"대전":"A02":"2020-07-20 12:00":"흐리고 비":"24":"28":"90"
"대전ㆍ세종ㆍ충청남도":"대전":"A02":"2020-07-21 00:00":"흐리고 비":"23":"29":"80"
"대전ㆍ세종ㆍ충청남도":"대전":"A02":"2020-07-21 12:00":"흐리고 비":"23":"29":"60"
"대전ㆍ세종ㆍ충청남도":"대전":"A02":"2020-07-22 00:00":"흐림":"22":"29":"40"
"대전ㆍ세종ㆍ충청남도":"대전":"A02":"2020-07-22 12:00":"흐림":"22":"29":"40"
"대전ㆍ세종ㆍ충청남도":"대전":"A02":"2020-07-23 00:00":"흐리고 비":"22":"27":"60"
"대전ㆍ세종ㆍ충청남도":"대전":"A02":"2020-07-23 12:00":"흐리고 비":"22":"27":"70"
"대전ㆍ세종ㆍ충청남도":"대전":"A01":"2020-07-24 00:00":"흐리고 비":"22":"29":"70"
"대전ㆍ세종ㆍ충청남도":"대전":"A01":"2020-07-25 00:00":"흐리고 비":"22":"27":"60"
"대전ㆍ세종ㆍ충청남도":"대전":"A01":"2020-07-26 00:00":"흐리고 비":"23":"28":"70"
"대전ㆍ세종ㆍ충청남도":"세종":"A02":"2020-07-19 00:00":"흐림":"20":"28":"40"
"대전ㆍ세종ㆍ충청남도":"세종":"A02":"2020-07-19 12:00":"흐리고 비":"20":"28":"70"
"대전ㆍ세종ㆍ충청남도":"세종":"A02":"2020-07-20 00:00":"흐리고 비":"23":"29":"80"
"대전ㆍ세종ㆍ충청남도":"세종":"A02":"2020-07-20 12:00":"흐리고 비":"23":"29":"90"
"대전ㆍ세종ㆍ충청남도":"세종":"A02":"2020-07-21 00:00":"흐리고 비":"22":"29":"80"
"대전ㆍ세종ㆍ충청남도":"세종":"A02":"2020-07-21 12:00":"흐리고 비":"22":"29":"60"
"대전ㆍ세종ㆍ충청남도":"세종":"A02":"2020-07-22 00:00":"흐림":"21":"28":"40"
"대전ㆍ세종ㆍ충청남도":"세종":"A02":"2020-07-22 12:00":"흐림":"21":"28":"40"
"대전ㆍ세종ㆍ충청남도":"세종":"A02":"2020-07-23 00:00":"흐리고 비":"21":"26":"60"
"대전ㆍ세종ㆍ충청남도":"세종":"A02":"2020-07-23 12:00":"흐리고 비":"21":"26":"70"
"대전ㆍ세종ㆍ충청남도":"세종":"A01":"2020-07-24 00:00":"흐리고 비":"20":"28":"70"
"대전ㆍ세종ㆍ충청남도":"세종":"A01":"2020-07-25 00:00":"흐리고 비":"20":"28":"60"
"대전ㆍ세종ㆍ충청남도":"세종":"A01":"2020-07-26 00:00":"흐리고 비":"21":"28":"70"
"대전ㆍ세종ㆍ충청남도":"홍성":"A02":"2020-07-19 00:00":"흐림":"21":"29":"40"
"대전ㆍ세종ㆍ충청남도":"홍성":"A02":"2020-07-19 12:00":"흐리고 비":"21":"29":"70"
"대전ㆍ세종ㆍ충청남도":"홍성":"A02":"2020-07-20 00:00":"흐리고 비":"24":"27":"80"
"대전ㆍ세종ㆍ충청남도":"홍성":"A02":"2020-07-20 12:00":"흐리고 비":"24":"27":"90"
"대전ㆍ세종ㆍ충청남도":"홍성":"A02":"2020-07-21 00:00":"흐리고 비":"22":"28":"80"
"대전ㆍ세종ㆍ충청남도":"홍성":"A02":"2020-07-21 12:00":"흐리고 비":"22":"28":"60"
"대전ㆍ세종ㆍ충청남도":"홍성":"A02":"2020-07-22 00:00":"흐림":"21":"28":"40"
"대전ㆍ세종ㆍ충청남도":"홍성":"A02":"2020-07-22 12:00":"흐림":"21":"28":"40"
"대전ㆍ세종ㆍ충청남도":"홍성":"A02":"2020-07-23 00:00":"흐리고 비":"20":"26":"60"
"대전ㆍ세종ㆍ충청남도":"홍성":"A02":"2020-07-23 12:00":"흐리고 비":"20":"26":"70"
"대전ㆍ세종ㆍ충청남도":"홍성":"A01":"2020-07-24 00:00":"흐리고 비":"20":"28":"70"
"대전ㆍ세종ㆍ충청남도":"홍성":"A01":"2020-07-25 00:00":"흐리고 비":"20":"28":"60"
"대전ㆍ세종ㆍ충청남도":"홍성":"A01":"2020-07-26 00:00":"흐리고 비":"21":"28":"70"
"충청북도":"청주":"A02":"2020-07-19 00:00":"흐림":"22":"28":"40"
"충청북도":"청주":"A02":"2020-07-19 12:00":"흐리고 비":"22":"28":"70"
"충청북도":"청주":"A02":"2020-07-20 00:00":"흐리고 비":"24":"29":"90"
"충청북도":"청주":"A02":"2020-07-20 12:00":"흐리고 비":"24":"29":"90"
"충청북도":"청주":"A02":"2020-07-21 00:00":"흐리고 비":"23":"30":"70"
"충청북도":"청주":"A02":"2020-07-21 12:00":"흐리고 비":"23":"30":"60"
"충청북도":"청주":"A02":"2020-07-22 00:00":"흐림":"23":"29":"40"
"충청북도":"청주":"A02":"2020-07-22 12:00":"흐림":"23":"29":"40"
"충청북도":"청주":"A02":"2020-07-23 00:00":"흐리고 비":"22":"28":"60"
"충청북도":"청주":"A02":"2020-07-23 12:00":"흐리고 비":"22":"28":"60"
"충청북도":"청주":"A01":"2020-07-24 00:00":"흐리고 비":"22":"29":"70"
"충청북도":"청주":"A01":"2020-07-25 00:00":"흐리고 비":"22":"28":"60"
"충청북도":"청주":"A01":"2020-07-26 00:00":"흐리고 비":"23":"29":"70"
"충청북도":"충주":"A02":"2020-07-19 00:00":"흐림":"20":"29":"40"
"충청북도":"충주":"A02":"2020-07-19 12:00":"흐리고 비":"20":"29":"70"
"충청북도":"충주":"A02":"2020-07-20 00:00":"흐리고 비":"23":"29":"90"
"충청북도":"충주":"A02":"2020-07-20 12:00":"흐리고 비":"23":"29":"90"
"충청북도":"충주":"A02":"2020-07-21 00:00":"흐리고 비":"22":"30":"70"
"충청북도":"충주":"A02":"2020-07-21 12:00":"흐리고 비":"22":"30":"60"
"충청북도":"충주":"A02":"2020-07-22 00:00":"흐림":"22":"29":"40"
"충청북도":"충주":"A02":"2020-07-22 12:00":"흐림":"22":"29":"40"
"충청북도":"충주":"A02":"2020-07-23 00:00":"흐리고 비":"21":"28":"60"
"충청북도":"충주":"A02":"2020-07-23 12:00":"흐리고 비":"21":"28":"60"
"충청북도":"충주":"A01":"2020-07-24 00:00":"흐리고 비":"21":"29":"70"
"충청북도":"충주":"A01":"2020-07-25 00:00":"흐리고 비":"21":"28":"60"
"충청북도":"충주":"A01":"2020-07-26 00:00":"흐리고 비":"22":"29":"70"
"충청북도":"영동":"A02":"2020-07-19 00:00":"흐림":"19":"29":"40"
"충청북도":"영동":"A02":"2020-07-19 12:00":"흐리고 비":"19":"29":"70"
"충청북도":"영동":"A02":"2020-07-20 00:00":"흐리고 비":"23":"31":"90"
"충청북도":"영동":"A02":"2020-07-20 12:00":"흐리고 비":"23":"31":"90"
"충청북도":"영동":"A02":"2020-07-21 00:00":"흐리고 비":"22":"31":"70"
"충청북도":"영동":"A02":"2020-07-21 12:00":"흐리고 비":"22":"31":"60"
"충청북도":"영동":"A02":"2020-07-22 00:00":"흐림":"20":"29":"40"
"충청북도":"영동":"A02":"2020-07-22 12:00":"흐림":"20":"29":"40"
"충청북도":"영동":"A02":"2020-07-23 00:00":"흐리고 비":"20":"28":"60"
"충청북도":"영동":"A02":"2020-07-23 12:00":"흐리고 비":"20":"28":"60"
"충청북도":"영동":"A01":"2020-07-24 00:00":"흐리고 비":"20":"29":"70"
"충청북도":"영동":"A01":"2020-07-25 00:00":"흐리고 비":"20":"29":"60"
"충청북도":"영동":"A01":"2020-07-26 00:00":"흐리고 비":"22":"28":"70"
"광주ㆍ전라남도":"광주":"A02":"2020-07-19 00:00":"흐리고 비":"22":"28":"70"
"광주ㆍ전라남도":"광주":"A02":"2020-07-19 12:00":"흐리고 비":"22":"28":"60"
"광주ㆍ전라남도":"광주":"A02":"2020-07-20 00:00":"흐리고 비":"24":"29":"90"
"광주ㆍ전라남도":"광주":"A02":"2020-07-20 12:00":"흐리고 비":"24":"29":"80"
"광주ㆍ전라남도":"광주":"A02":"2020-07-21 00:00":"흐리고 비":"23":"30":"70"
"광주ㆍ전라남도":"광주":"A02":"2020-07-21 12:00":"흐리고 비":"23":"30":"60"
"광주ㆍ전라남도":"광주":"A02":"2020-07-22 00:00":"흐림":"22":"29":"40"
"광주ㆍ전라남도":"광주":"A02":"2020-07-22 12:00":"흐림":"22":"29":"40"
"광주ㆍ전라남도":"광주":"A02":"2020-07-23 00:00":"흐리고 비":"22":"29":"70"
"광주ㆍ전라남도":"광주":"A02":"2020-07-23 12:00":"흐리고 비":"22":"29":"70"
"광주ㆍ전라남도":"광주":"A01":"2020-07-24 00:00":"흐리고 비":"22":"29":"70"
"광주ㆍ전라남도":"광주":"A01":"2020-07-25 00:00":"흐리고 비":"23":"29":"70"
"광주ㆍ전라남도":"광주":"A01":"2020-07-26 00:00":"흐리고 비":"23":"29":"70"
"광주ㆍ전라남도":"목포":"A02":"2020-07-19 00:00":"흐리고 비":"23":"27":"70"
"광주ㆍ전라남도":"목포":"A02":"2020-07-19 12:00":"흐리고 비":"23":"27":"60"
"광주ㆍ전라남도":"목포":"A02":"2020-07-20 00:00":"흐리고 비":"24":"26":"90"
"광주ㆍ전라남도":"목포":"A02":"2020-07-20 12:00":"흐리고 비":"24":"26":"80"
"광주ㆍ전라남도":"목포":"A02":"2020-07-21 00:00":"흐리고 비":"23":"27":"70"
"광주ㆍ전라남도":"목포":"A02":"2020-07-21 12:00":"흐리고 비":"23":"27":"60"
"광주ㆍ전라남도":"목포":"A02":"2020-07-22 00:00":"흐림":"22":"26":"40"
"광주ㆍ전라남도":"목포":"A02":"2020-07-22 12:00":"흐림":"22":"26":"40"
"광주ㆍ전라남도":"목포":"A02":"2020-07-23 00:00":"흐리고 비":"22":"26":"70"
"광주ㆍ전라남도":"목포":"A02":"2020-07-23 12:00":"흐리고 비":"22":"26":"70"
"광주ㆍ전라남도":"목포":"A01":"2020-07-24 00:00":"흐리고 비":"21":"27":"70"
"광주ㆍ전라남도":"목포":"A01":"2020-07-25 00:00":"흐리고 비":"21":"27":"70"
"광주ㆍ전라남도":"목포":"A01":"2020-07-26 00:00":"흐리고 비":"23":"27":"70"
"광주ㆍ전라남도":"여수":"A02":"2020-07-19 00:00":"흐리고 비":"22":"25":"70"
"광주ㆍ전라남도":"여수":"A02":"2020-07-19 12:00":"흐리고 비":"22":"25":"60"
"광주ㆍ전라남도":"여수":"A02":"2020-07-20 00:00":"흐리고 비":"23":"26":"90"
"광주ㆍ전라남도":"여수":"A02":"2020-07-20 12:00":"흐리고 비":"23":"26":"80"
"광주ㆍ전라남도":"여수":"A02":"2020-07-21 00:00":"흐리고 비":"23":"28":"70"
"광주ㆍ전라남도":"여수":"A02":"2020-07-21 12:00":"흐리고 비":"23":"28":"60"
"광주ㆍ전라남도":"여수":"A02":"2020-07-22 00:00":"흐림":"23":"26":"40"
"광주ㆍ전라남도":"여수":"A02":"2020-07-22 12:00":"흐림":"23":"26":"40"
"광주ㆍ전라남도":"여수":"A02":"2020-07-23 00:00":"흐리고 비":"22":"25":"70"
"광주ㆍ전라남도":"여수":"A02":"2020-07-23 12:00":"흐리고 비":"22":"25":"70"
"광주ㆍ전라남도":"여수":"A01":"2020-07-24 00:00":"흐리고 비":"22":"26":"70"
"광주ㆍ전라남도":"여수":"A01":"2020-07-25 00:00":"흐리고 비":"22":"26":"70"
"광주ㆍ전라남도":"여수":"A01":"2020-07-26 00:00":"흐리고 비":"22":"26":"70"
"광주ㆍ전라남도":"순천":"A02":"2020-07-19 00:00":"흐리고 비":"22":"27":"70"
"광주ㆍ전라남도":"순천":"A02":"2020-07-19 12:00":"흐리고 비":"22":"27":"60"
"광주ㆍ전라남도":"순천":"A02":"2020-07-20 00:00":"흐리고 비":"24":"29":"90"
"광주ㆍ전라남도":"순천":"A02":"2020-07-20 12:00":"흐리고 비":"24":"29":"80"
"광주ㆍ전라남도":"순천":"A02":"2020-07-21 00:00":"흐리고 비":"23":"31":"70"
"광주ㆍ전라남도":"순천":"A02":"2020-07-21 12:00":"흐리고 비":"23":"31":"60"
"광주ㆍ전라남도":"순천":"A02":"2020-07-22 00:00":"흐림":"23":"29":"40"
"광주ㆍ전라남도":"순천":"A02":"2020-07-22 12:00":"흐림":"23":"29":"40"
"광주ㆍ전라남도":"순천":"A02":"2020-07-23 00:00":"흐리고 비":"22":"29":"70"
"광주ㆍ전라남도":"순천":"A02":"2020-07-23 12:00":"흐리고 비":"22":"29":"70"
"광주ㆍ전라남도":"순천":"A01":"2020-07-24 00:00":"흐리고 비":"22":"29":"70"
"광주ㆍ전라남도":"순천":"A01":"2020-07-25 00:00":"흐리고 비":"22":"30":"70"
"광주ㆍ전라남도":"순천":"A01":"2020-07-26 00:00":"흐리고 비":"23":"29":"70"
"광주ㆍ전라남도":"광양":"A02":"2020-07-19 00:00":"흐리고 비":"21":"25":"70"
"광주ㆍ전라남도":"광양":"A02":"2020-07-19 12:00":"흐리고 비":"21":"25":"60"
"광주ㆍ전라남도":"광양":"A02":"2020-07-20 00:00":"흐리고 비":"23":"29":"90"
"광주ㆍ전라남도":"광양":"A02":"2020-07-20 12:00":"흐리고 비":"23":"29":"80"
"광주ㆍ전라남도":"광양":"A02":"2020-07-21 00:00":"흐리고 비":"23":"30":"70"
"광주ㆍ전라남도":"광양":"A02":"2020-07-21 12:00":"흐리고 비":"23":"30":"60"
"광주ㆍ전라남도":"광양":"A02":"2020-07-22 00:00":"흐림":"22":"28":"40"
"광주ㆍ전라남도":"광양":"A02":"2020-07-22 12:00":"흐림":"22":"28":"40"
"광주ㆍ전라남도":"광양":"A02":"2020-07-23 00:00":"흐리고 비":"22":"27":"70"
"광주ㆍ전라남도":"광양":"A02":"2020-07-23 12:00":"흐리고 비":"22":"27":"70"
"광주ㆍ전라남도":"광양":"A01":"2020-07-24 00:00":"흐리고 비":"21":"27":"70"
"광주ㆍ전라남도":"광양":"A01":"2020-07-25 00:00":"흐리고 비":"22":"27":"70"
"광주ㆍ전라남도":"광양":"A01":"2020-07-26 00:00":"흐리고 비":"22":"27":"70"
"광주ㆍ전라남도":"나주":"A02":"2020-07-19 00:00":"흐리고 비":"22":"28":"70"
"광주ㆍ전라남도":"나주":"A02":"2020-07-19 12:00":"흐리고 비":"22":"28":"60"
"광주ㆍ전라남도":"나주":"A02":"2020-07-20 00:00":"흐리고 비":"24":"29":"90"
"광주ㆍ전라남도":"나주":"A02":"2020-07-20 12:00":"흐리고 비":"24":"29":"80"
"광주ㆍ전라남도":"나주":"A02":"2020-07-21 00:00":"흐리고 비":"23":"31":"70"
"광주ㆍ전라남도":"나주":"A02":"2020-07-21 12:00":"흐리고 비":"23":"31":"60"
"광주ㆍ전라남도":"나주":"A02":"2020-07-22 00:00":"흐림":"22":"29":"40"
"광주ㆍ전라남도":"나주":"A02":"2020-07-22 12:00":"흐림":"22":"29":"40"
"광주ㆍ전라남도":"나주":"A02":"2020-07-23 00:00":"흐리고 비":"21":"29":"70"
"광주ㆍ전라남도":"나주":"A02":"2020-07-23 12:00":"흐리고 비":"21":"29":"70"
"광주ㆍ전라남도":"나주":"A01":"2020-07-24 00:00":"흐리고 비":"21":"29":"70"
"광주ㆍ전라남도":"나주":"A01":"2020-07-25 00:00":"흐리고 비":"21":"30":"70"
